epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8482,1.53243,3.13143,1.52396,0.00258,1,0.13093,0.04112,1.35483,4.28711,1.46332,0.000653333,0.000653333,0.000653333
2,67.8911,1.47667,2.18051,1.44593,0.78009,0.734,0.783,0.51515,1.13838,2.48229,1.20079,0.00129386,0.00129386,0.00129386
3,100.871,1.43593,1.76379,1.39542,0.76951,1,0.81989,0.51289,1.29034,1.35,1.20071,0.00190799,0.00190799,0.00190799
4,133.91,1.41985,1.47056,1.37424,0.6453,0.87829,0.69552,0.39557,1.46342,1.54335,1.26951,0.0018812,0.0018812,0.0018812
5,166.992,1.40198,1.27181,1.39196,0.78765,1,0.80087,0.32998,2.00423,1.10702,1.65928,0.0018416,0.0018416,0.0018416
6,200.341,1.39493,1.15628,1.34168,0.76325,0.94497,0.82486,0.55579,1.08527,0.9221,1.08729,0.001802,0.001802,0.001802
7,233.532,1.39662,1.14229,1.3627,0.74335,0.94882,0.76256,0.43704,1.318,1.188,1.19693,0.0017624,0.0017624,0.0017624
8,266.753,1.35609,1.0914,1.3366,0.76209,0.98276,0.80227,0.51616,1.17276,0.81248,1.1124,0.0017228,0.0017228,0.0017228
9,299.949,1.32618,1.00823,1.30016,0.77573,0.96552,0.83914,0.55321,1.19196,0.83278,1.11713,0.0016832,0.0016832,0.0016832
10,333.264,1.3616,0.9925,1.32846,0.77139,1,0.83467,0.40955,1.66863,1.06653,1.37531,0.0016436,0.0016436,0.0016436
11,366.435,1.31887,0.95963,1.31149,0.78463,0.93103,0.82405,0.51486,1.2786,1.07631,1.15646,0.001604,0.001604,0.001604
12,399.789,1.28819,1.02658,1.30118,0.78246,1,0.82654,0.5274,1.15177,0.74484,1.12307,0.0015644,0.0015644,0.0015644
13,433.089,1.34228,0.95768,1.32301,0.78865,1,0.80923,0.57752,1.00816,0.76611,1.05511,0.0015248,0.0015248,0.0015248
14,466.484,1.3089,0.92708,1.27721,0.78453,1,0.82308,0.50999,1.26361,0.78238,1.18984,0.0014852,0.0014852,0.0014852
15,499.926,1.2603,0.83593,1.27264,0.78257,1,0.83894,0.4651,1.53328,0.78213,1.307,0.0014456,0.0014456,0.0014456
16,533.462,1.25622,0.93296,1.27848,0.78902,0.98276,0.84785,0.58749,1.02172,0.74096,1.04939,0.001406,0.001406,0.001406
17,567.491,1.25954,0.91209,1.24603,0.77205,1,0.81685,0.50507,1.25831,0.86311,1.16205,0.0013664,0.0013664,0.0013664
18,601.338,1.24986,0.87668,1.2482,0.77242,1,0.82716,0.42286,1.45782,0.80535,1.26021,0.0013268,0.0013268,0.0013268
19,634.893,1.22678,0.89242,1.23997,0.76137,0.98276,0.81556,0.52639,1.17978,0.71853,1.11322,0.0012872,0.0012872,0.0012872
20,668.789,1.24215,0.86847,1.24099,0.78013,1,0.81735,0.51971,1.14949,0.70742,1.09704,0.0012476,0.0012476,0.0012476
21,702.545,1.21686,0.87004,1.24514,0.74413,1,0.8234,0.43539,1.54362,0.82355,1.31494,0.001208,0.001208,0.001208
22,736.94,1.21468,0.84681,1.22666,0.7826,1,0.87212,0.48555,1.51454,0.78998,1.27914,0.0011684,0.0011684,0.0011684
23,776.934,1.16231,0.83812,1.22058,0.77312,1,0.83662,0.48321,1.45636,0.7585,1.24125,0.0011288,0.0011288,0.0011288
24,834.704,1.18144,0.83897,1.22939,0.78377,0.9999,0.87215,0.5782,1.11788,0.66369,1.10467,0.0010892,0.0010892,0.0010892
25,868.507,1.17596,0.83392,1.23165,0.7809,1,0.88799,0.4781,1.46848,0.86347,1.29095,0.0010496,0.0010496,0.0010496
26,902.326,1.16835,0.82727,1.22105,0.7817,1,0.86271,0.58462,1.09697,0.67572,1.07664,0.00101,0.00101,0.00101
27,937.743,1.12108,0.81237,1.20838,0.77878,1,0.80875,0.48745,1.38177,0.70441,1.26992,0.0009704,0.0009704,0.0009704
