epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.798,1.63298,3.65715,1.57196,0.72682,0.96333,0.80943,0.36501,1.75288,1.90793,1.52837,0.000653333,0.000653333,0.000653333
2,604.407,1.51484,1.3584,1.42267,0.76919,0.84483,0.78874,0.39997,1.61616,1.21843,1.45591,0.00129386,0.00129386,0.00129386
3,914.396,1.55505,1.26691,1.43205,0.00234,0.5,0.0021,0.00079,2.0926,inf,1.69815,0.00190799,0.00190799,0.00190799
4,1205.01,1.48168,1.14742,1.37701,0.03174,0.01724,0.02153,0.00356,2.69247,20.7077,2.27593,0.0018812,0.0018812,0.0018812
5,1489.58,1.46953,1.15538,1.40881,0.76904,0.94828,0.78495,0.36029,1.75395,1.10863,1.48344,0.0018416,0.0018416,0.0018416
6,1792.69,1.46403,1.05917,1.365,0.77201,0.94828,0.7754,0.56171,0.97822,0.87381,1.05439,0.001802,0.001802,0.001802
7,2075.44,1.45095,1.05424,1.37907,0.63756,0.87953,0.70453,0.39054,1.4329,1.25171,1.23375,0.0017624,0.0017624,0.0017624
8,2377.49,1.42686,1.0408,1.35661,0.76134,0.96552,0.83592,0.42493,1.60038,0.9336,1.32431,0.0017228,0.0017228,0.0017228
9,2638.75,1.39735,0.97401,1.31858,0.71199,0.96552,0.79971,0.57367,0.97931,0.90243,1.03747,0.0016832,0.0016832,0.0016832
10,2938.01,1.38761,0.9868,1.3297,0.75408,1,0.79122,0.42816,1.51321,0.84356,1.27028,0.0016436,0.0016436,0.0016436
11,3220.88,1.40165,0.95153,1.33453,0.76727,0.96634,0.8366,0.52975,1.1894,0.79461,1.1194,0.001604,0.001604,0.001604
12,3509.16,1.35014,1.01414,1.29471,0.77086,1,0.82378,0.49236,1.24577,0.78844,1.14641,0.0015644,0.0015644,0.0015644
13,3795.61,1.36757,0.94355,1.31415,0.05124,0.31034,0.02265,0.01592,1.8092,5.77524,1.69058,0.0015248,0.0015248,0.0015248
14,4055.95,1.34503,0.93587,1.28202,0.77025,1,0.80769,0.51387,1.19625,0.76604,1.12349,0.0014852,0.0014852,0.0014852
15,4342.8,1.29064,0.84054,1.27351,0.77546,0.96552,0.80638,0.51021,1.26433,0.78706,1.14722,0.0014456,0.0014456,0.0014456
16,4615.92,1.33238,0.93603,1.29774,0.71911,0.97115,0.75942,0.45488,1.36199,0.8227,1.24315,0.001406,0.001406,0.001406
17,4905.63,1.30041,0.89486,1.25143,0.76034,1,0.87397,0.58478,1.16257,0.73452,1.11421,0.0013664,0.0013664,0.0013664
18,5197.09,1.25543,0.86565,1.23509,0.77105,0.98276,0.81619,0.43303,1.50431,0.7955,1.29487,0.0013268,0.0013268,0.0013268
19,5488.96,1.26813,0.88543,1.24849,0.73059,0.98276,0.80548,0.46272,1.38064,0.77283,1.21269,0.0012872,0.0012872,0.0012872
20,5789.02,1.27794,0.85911,1.2368,0.6801,0.98276,0.77677,0.47835,1.16418,0.85831,1.11252,0.0012476,0.0012476,0.0012476
21,6073.85,1.27417,0.88608,1.26603,0.76923,1,0.82065,0.46202,1.53022,0.76818,1.28897,0.001208,0.001208,0.001208
22,6369.56,1.26101,0.85715,1.2426,0.78037,1,0.84722,0.46196,1.48727,0.79764,1.25727,0.0011684,0.0011684,0.0011684
23,6666.7,1.19572,0.8426,1.23309,0.77103,1,0.80426,0.48624,1.29778,0.71087,1.15816,0.0011288,0.0011288,0.0011288
24,6979.45,1.20291,0.81594,1.22011,0.77265,1,0.82819,0.54466,1.17962,0.69345,1.13762,0.0010892,0.0010892,0.0010892
25,7276.31,1.20054,0.82168,1.23653,0.78115,1,0.81693,0.48536,1.4467,0.72956,1.23679,0.0010496,0.0010496,0.0010496
26,7560.68,1.22199,0.8116,1.22608,0.79135,0.89655,0.76389,0.54664,0.92952,0.85142,1.05366,0.00101,0.00101,0.00101
27,7831.51,1.17823,0.79817,1.22339,0.76112,0.94828,0.85363,0.45747,1.48736,0.7931,1.28884,0.0009704,0.0009704,0.0009704
